2.000000000000000111e-01,1.245582633333333066e-12,1.540729056865478286e-01
2.080000000000000071e+00,2.995230400000000182e-12,3.704963754140447318e-01
4.080000000000000071e+00,4.690179500000001442e-12,5.801538688947791567e-01
6.080000000000000071e+00,6.137559599999999317e-12,7.591882032472939690e-01
8.060000000000000497e+00,7.211592800000000375e-12,8.920412243952992037e-01
1.003999999999999915e+01,7.846954675000001287e-12,9.706325981219320331e-01
1.208000000000000007e+01,8.084371666666667844e-12,1.000000000000000000e+00
1.400000000000000000e+01,8.075904119999999662e-12,9.989526029955325681e-01
1.601999999999999957e+01,7.879727041666666160e-12,9.746863907996970999e-01
2.001999999999999957e+01,7.402648633333332309e-12,9.156739618807725467e-01
2.500000000000000000e+01,6.768634125000000370e-12,8.372492512817425458e-01
3.000000000000000000e+01,6.124614766666667087e-12,7.575869862489827966e-01
4.003999999999999915e+01,4.895385933333333616e-12,6.055369712302934859e-01
5.003999999999999915e+01,3.786364399999999747e-12,4.683560524081132326e-01
6.002000000000000313e+01,2.785330951219512165e-12,3.445327684158729920e-01
7.004000000000000625e+01,1.957232699999999672e-12,2.421007816934030166e-01
8.071999999999999886e+01,1.222904142857142881e-12,1.512676795773008065e-01
