0,348,0.01745235707121364
1,1227,0.0615346038114343
2,3198,0.1603811434302909
3,6152,0.3085255767301906
4,9530,0.4779338014042127
5,13006,0.6522567703109328
7,18351,0.9203109327983952
10,19940,1
12,19907,0.9983450351053159
15,19793,0.9926278836509529
20,19351,0.9704613841524574
25,18705,0.9380641925777332
30,17561,0.8806920762286861
35,16355,0.8202106318956871
40,15058,0.7551654964894684
50,11971,0.6003510531594785
60,9008,0.4517552657973922
70,6276,0.3147442326980943
80,4231,0.2121865596790371
