0,111,0.005669918782244471
1,432,0.02206671093630281
2,1093,0.05583082188282168
3,2171,0.1108954385247995
4,3699,0.1889462123920927
5,5255,0.2684272360422945
7,8761,0.4475149410021965
10,13347,0.6817694233028554
12,15599,0.7968023701282116
15,17919,0.9153087807120601
20,19577,1
25,19573,0.9997956786024417
30,19306,0.9861572253154212
35,18782,0.9593911222352761
40,18169,0.9280788680594575
50,17018,0.8692853859120396
60,15294,0.7812228635643867
70,13780,0.7038872145885477
80,12046,0.615313888746999
